,Unnamed: 0,News,Original Label,Prediction
58,58,[CLS] [UNK] CORONINHA CITY⇒Tema : BRASIL⇒Sistemas Exclusivos⇒Proteção ANTI - DDOS / CHEAT⇒Economia Balanceada⇒Empregos legais⇒Empregos ilegais⇒Carros Americanos⇒Carros Importados Brasileiros⇒Mecânicas⇒Benny's⇒Facções⇒CV⇒ PCC⇒Mafia⇒Corporações⇒LSPD⇒SWAT⇒EMS⇒Discord : https : / / discord. gg / pEFzxfy [SEP],0,0
65,65,[CLS] Quarta feira 01 / 04 vacinação em idosos com 80 anos ou mais https : / / odiariodemaringa. com. br / 2020 / 03 / 31 / quarta - feira - 01 - 04 - vacinacao - em - idosos - com - 80 - anos - ou - mais / via @ O Diário de Maringá [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
70,70,"[CLS] A deputada federal Carla Zambelli está recolhendo assinaturas para protocolar proposta de emenda à Constituição que reduz em 25 % os vencimentos e subsídios superiores a R $ 15. 000, 00 de políticos, servidores e membros dos Poderes Executivo, Legislativo e Judiciário, por três meses, ou enquanto durar a pandemia do COVID - 19. O objetivo é destinar os valores economizados, preferencialmente, “ a ações relativas ao combate ao COVID - 19 em território nacional ”. Para a proposta obter prosseguimento na Câmara, é necessário apoiamento de pelo menos 171 deputados [SEP]",0,0
75,75,"[CLS] 6¤ BPM OPERAÇÃO PREVENTIVA DE FISCALIZAÇÃO E MANUTENÇÃO DE AÇÕES DE COMBATE AO CORONAVÍRUS, EM ANDAMENTO NA REGIÃO SUL DE PALMAShttps : / / www. instagram. com / p / B - XtepilGT6 /? igshid = 191ahxwe6rqy7 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
78,78,"[CLS] Most @ COVID19Up deaths. Italy : 15, 362 Spain : 11, 814 US : 8, 344 France : 7, 560 UK : 4, 313 Iran : 3, 452 China : 3, 326 Netherlands : 1, 651Germany : 1, 395Belgium : 1, 283Switzerland : 666Turkey : 501Brazil : 431Sweden : 391Portugal : 266Canada : 231Indonesia : 191 World : 64, 270 [SEP]",0,0
79,79,[CLS] https : / / presidentebolsonaro. com / esse - e - de - deus - juiz - federal - bloqueia - e - autoriza - fundo - partidario - para - uso - no - combate - ao - coronavirus / O mesmo que suspendeu a posse do ex - presidente Luiz Inácio Lula da Silva como ministro da Casa Civil da então presidente Dilma Rousseff. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
82,82,"[CLS] Novos horários de Missa transmitidas pela TV Canção Nova https : / / tv. cancaonova. com / programas / novos - horarios - de - missa - transmitidas - pela - tv - cancao - nova / Aos Católicos, por motivo do Covid - 19 os templos católicos tiveram que ser fechados, mas para não ficar sem as santas missas, principalmente nesta Semana Santa possa participar delas, através da TV. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
83,83,"[CLS] https : / / g1. globo. com / rj / rio - de - janeiro / noticia / 2020 / 04 / 04 / witzel - exonera - subsecretaria - de - saude - em - meio - a - pandemia - saiba - o - bastidor. ghtmlO governador Witzel exonerou nessa sexta ( 03 / abril ), a subsectretaria de saúde Dra. Mariana Tomasi, porque ela não concordou com a contratação da empresa O. S. OZZ Saúde Eireli para gestionar a [SEP]",0,0
86,86,"[CLS] Ajudem RTVote SIM para o Ministro @ AbrahamWeint poder escolher os reitores de universidades federais. Vamos virar este jogo!! https : / / www12. senado. leg. br / ecidadania / visualizacaomateria? id = 142445Medida Provisória n° 979, de 2020 ( Designação de dirigentes pro tempore para as instituições federais de ensino durante o período da pandemia da covid - 19 ) [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
87,87,"[CLS] As pessoas precisam de algumas referências para acreditar nas palavras de alguém. Pois bem, tenho 67 anos, sou biólogo aposentado, trabalhei na Seção de Raiva e Encefalomielite do Instituto Biológico de São Paulo, fui assistente do cientista Moacyr Rossi Nilson, trabalhei com o vírus da raiva, um virus que causa 99 % de letalidade. Trabalhei na Seção de Bacteriologia Animal também. Sou professor de biologia. Os vírus são muito menores que as bactérias e não são visíveis ao microscópio óptico comum MOC, só com microscópio [SEP]",0,0
88,88,"[CLS] Gostaria de ajudar a Fiocruz no combate ao COVID - 19? Basta responder este formulário, sobre as medidas e controle da pandemia. Não dura nem um minuto! E por favor, repassem para seus grupos e amigos. É importante a participação de todos! Obrigado! https : / / docs. google. com / forms / d / e / 1FAIpQLSfBM0eqy7YgO99F _ S6VGbSDxo48bELsAX1eVdsBTTqkub [SEP]",0,0
89,89,[CLS] * GERAL * Governo zera impostos de produtos usados no combate ao Coronavírus. | DiarioDaAmazonia. com. brhttps : / / www. diariodaamazonia. com. br / governo - zera - impostos - de - produtos - usados - no - combate - ao - coronavirus / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
90,90,[CLS] https : / / fanoticias. com. br / covid - 19 - jovem - sobre - os - efeitos - parecia - furar - meu - peito / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
92,92,[CLS] http : / / vozdopara. com. br / qual - a - situacao - do - coronavirus - no - continente - africano / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
93,93,"[CLS] * SAIBA * * Durante pandemia de coronavírus, seguro - desemprego poderá ser solicitado online * - http : / / www. novacruzoficialrn. com. br / noticias / 29 / durante - pandemia - de - coronavirus - seguro - desemprego - podera - ser - solicitado - online. html [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
94,94,[CLS] http : / / vozdopara. com. br / para - tem - 20 - infectados - por - coronavirus / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
95,95,[CLS] http : / / vozdopara. com. br / pesquisa - instituto - real - time - big - data - helder - barbalho - pavimenta - reeleicao - com - novo - coronavirus / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
